Disease,Symptoms
Dengue," skin_rash, chills, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body"
Psoriasis," skin_rash, joint_pain, skin_peeling, silver_like_dusting, inflammatory_nails"
Chicken pox,"itching, skin_rash, fatigue, lethargy, high_fever, headache, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body"
Malaria," chills, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain"
hepatitis A," joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, mild_fever, yellowing_of_eyes, muscle_pain"
Pneumonia," fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum"
hepatitis A," vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain"
Paralysis (brain hemorrhage)," vomiting, headache, altered_sensorium"
Psoriasis," skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails"
Alcoholic hepatitis," vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption"
(vertigo) Paroymsal  Positional Vertigo," vomiting, nausea, spinning_movements, loss_of_balance, unsteadiness"
Osteoarthristis," joint_pain, neck_pain, knee_pain, swelling_joints, painful_walking"
Osteoarthristis," neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking"
Chicken pox,"itching, skin_rash, fatigue, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body"
AIDS," muscle_wasting, high_fever, extra_marital_contacts"
Heart attack," vomiting, breathlessness, chest_pain"
Dimorphic hemmorhoids(piles)," pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus"
Hypoglycemia," vomiting, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
Dengue," skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, red_spots_over_body"
Jaundice,"itching, vomiting, fatigue, weight_loss, yellowish_skin, dark_urine, abdominal_pain"
Hepatitis D," joint_pain, vomiting, fatigue, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
Dengue," skin_rash, chills, joint_pain, vomiting, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body"
Migraine," acidity, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances"
Hepatitis C," fatigue, yellowish_skin, nausea, yellowing_of_eyes, family_history"
Hyperthyroidism," fatigue, mood_swings, weight_loss, restlessness, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation"
Impetigo," skin_rash, high_fever, blister, yellow_crust_ooze"
Hepatitis E," joint_pain, vomiting, fatigue, high_fever, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding"
Arthritis," muscle_weakness, stiff_neck, swelling_joints, movement_stiffness"
Common Cold," continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
GERD," stomach_pain, acidity, vomiting, cough, chest_pain"
Arthritis," muscle_weakness, swelling_joints, movement_stiffness, painful_walking"
Hypoglycemia," vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, slurred_speech, irritability, palpitations"
Hepatitis D," joint_pain, vomiting, fatigue, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
Dengue," chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body"
Pneumonia," chills, fatigue, cough, high_fever, breathlessness, sweating, phlegm, chest_pain, fast_heart_rate, rusty_sputum"
Impetigo," skin_rash, high_fever, blister, red_sore_around_nose"
Migraine," acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, irritability, visual_disturbances"
hepatitis A," joint_pain, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain"
Varicose veins," fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels"
Hypoglycemia," fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
Tuberculosis," chills, vomiting, fatigue, weight_loss, cough, high_fever, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
Gastroenteritis," vomiting, dehydration, diarrhoea"
Dengue," skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain"
Pneumonia," chills, fatigue, cough, high_fever, breathlessness, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum"
Tuberculosis," chills, vomiting, fatigue, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
Drug Reaction,"itching, skin_rash, stomach_pain, spotting_ urination"
Alcoholic hepatitis," vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, fluid_overload"
Hepatitis E," joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding"
hepatitis A," joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain"
Pneumonia," chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, chest_pain, fast_heart_rate, rusty_sputum"
Hepatitis B,"itching, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections"
Hepatitis C," yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history"
Hyperthyroidism," fatigue, mood_swings, weight_loss, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation"
Common Cold," continuous_sneezing, chills, fatigue, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
(vertigo) Paroymsal  Positional Vertigo," vomiting, headache, spinning_movements, loss_of_balance, unsteadiness"
Arthritis," stiff_neck, swelling_joints, movement_stiffness, painful_walking"
Hypothyroidism," fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation"
Heart attack," vomiting, breathlessness, sweating"
Dimorphic hemmorhoids(piles)," constipation, pain_during_bowel_movements, pain_in_anal_region, irritation_in_anus"
Fungal infection,"itching, nodal_skin_eruptions, dischromic _patches"
hepatitis A," joint_pain, vomiting, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain"
Dengue," skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, muscle_pain, red_spots_over_body"
GERD," stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain"
Common Cold," continuous_sneezing, chills, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
(vertigo) Paroymsal  Positional Vertigo," vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
Gastroenteritis," vomiting, sunken_eyes, diarrhoea"
Cervical spondylosis," back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance"
Psoriasis," skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails"
Pneumonia," chills, fatigue, cough, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum"
Hypertension ," headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration"
hepatitis A," joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain"
Bronchial Asthma," fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum"
Impetigo," skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze"
Dimorphic hemmorhoids(piles)," constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus"
Hypoglycemia," vomiting, fatigue, anxiety, sweating, headache, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
Chicken pox,"itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, swelled_lymph_nodes, malaise, red_spots_over_body"
Varicose veins," fatigue, cramps, bruising, obesity, swollen_legs, prominent_veins_on_calf"
Chicken pox,"itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, malaise, red_spots_over_body"
Hypothyroidism," fatigue, weight_gain, cold_hands_and_feets, mood_swings, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation"
Hepatitis B,"itching, fatigue, lethargy, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections"
Paralysis (brain hemorrhage)," vomiting, headache, weakness_of_one_body_side"
GERD," stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain"
Common Cold," continuous_sneezing, chills, fatigue, cough, high_fever, headache, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
Chicken pox,"itching, skin_rash, fatigue, lethargy, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body"
Hepatitis C," fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes"
Hepatitis C," fatigue, nausea, loss_of_appetite, yellowing_of_eyes, family_history"
Migraine," acidity, indigestion, headache, blurred_and_distorted_vision, stiff_neck, depression, irritability, visual_disturbances"
Common Cold," continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
Arthritis," muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking"
Chronic cholestasis,"itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes"
Psoriasis," joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails"
(vertigo) Paroymsal  Positional Vertigo," vomiting, headache, nausea, spinning_movements, unsteadiness"
Common Cold," continuous_sneezing, chills, fatigue, cough, high_fever, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain"
Psoriasis," skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails"
Hepatitis D," joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, yellowing_of_eyes"
Chronic cholestasis,"itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
Typhoid," chills, vomiting, fatigue, high_fever, headache, nausea, constipation, diarrhoea, toxic_look_(typhos), belly_pain"
Impetigo," skin_rash, high_fever, red_sore_around_nose, yellow_crust_ooze"
Varicose veins," fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf"
Hepatitis D," joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, abdominal_pain, yellowing_of_eyes"
Allergy," continuous_sneezing, chills, watering_from_eyes"
Bronchial Asthma," fatigue, high_fever, breathlessness, family_history, mucoid_sputum"
Tuberculosis," chills, vomiting, fatigue, weight_loss, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
Hepatitis C," fatigue, yellowish_skin, nausea, loss_of_appetite, family_history"
GERD," stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain"
Hypoglycemia," vomiting, fatigue, anxiety, sweating, headache, nausea, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
Chronic cholestasis,"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
AIDS," muscle_wasting, patches_in_throat, high_fever"
Chicken pox,"itching, skin_rash, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body"
Hepatitis B,"itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections"
Impetigo," skin_rash, blister, red_sore_around_nose, yellow_crust_ooze"
Hypertension ," headache, chest_pain, dizziness, lack_of_concentration"
Hypothyroidism," weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation"
Gastroenteritis," vomiting, sunken_eyes, dehydration"
Dengue," skin_rash, chills, joint_pain, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body"
Alcoholic hepatitis," vomiting, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload"
Hepatitis E," joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding"
Allergy," continuous_sneezing, shivering, chills, watering_from_eyes"
hepatitis A," joint_pain, vomiting, yellowish_skin, dark_urine, nausea, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain"
Hepatitis C," fatigue, yellowish_skin, loss_of_appetite, yellowing_of_eyes, family_history"
Osteoarthristis," joint_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking"
Hyperthyroidism," fatigue, mood_swings, weight_loss, restlessness, sweating, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation"
Diabetes ," fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger, increased_appetite, polyuria"
Drug Reaction,"itching, skin_rash, burning_micturition, spotting_ urination"
Peptic ulcer diseae," vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching"
Hypothyroidism," fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation"
Hypoglycemia," vomiting, fatigue, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
Tuberculosis," vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
Drug Reaction," skin_rash, stomach_pain, burning_micturition, spotting_ urination"
Malaria," chills, vomiting, sweating, headache, nausea, diarrhoea, muscle_pain"
Hepatitis D," joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
Hyperthyroidism," fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, muscle_weakness, irritability, abnormal_menstruation"
Hypoglycemia," vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
Paralysis (brain hemorrhage)," vomiting, headache, weakness_of_one_body_side, altered_sensorium"
Fungal infection,"itching, skin_rash, nodal_skin_eruptions"
Migraine," acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, visual_disturbances"
Gastroenteritis," sunken_eyes, dehydration, diarrhoea"
Diabetes ," weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
Hypoglycemia," vomiting, fatigue, anxiety, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
Cervical spondylosis," back_pain, weakness_in_limbs, neck_pain, loss_of_balance"
Hepatitis D," joint_pain, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
Hypertension ," chest_pain, dizziness, loss_of_balance, lack_of_concentration"
Acne," pus_filled_pimples, blackheads, scurring"
Jaundice," vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain"
