disease,tips,tips2
GERD,"Seek immediate medical care if you have chest pain, especially if you also have shortness of breath, or jaw or arm pain.Make an appointment with your doctor if you Experience severe or frequent GERD symptoms","Lifestyle to control GERD include Avoid foods and drinks that trigger reflux (e.g., fatty foods, coffee, alcohol).Eat smaller meals and avoid lying down after eating.Elevate the head of your bed. Lose weight if overweight.Quit smoking."
Acne,"You can’t completely prevent acne, especially during hormone changes, but you can reduce your risk of developing acne by Washing your face daily with warm water and a facial cleanser, Using an oil-free moisturizer, Wearing “noncomedogenic” makeup products and removing makeup at the end of each day,Keeping your hands away from your face.","A healthcare provider can diagnose acne during a skin exam. During this exam, the provider will closely look at your skin to learn more about your symptoms and treatment"
Varicose veins,"Although varicose veins aren’t usually dangerous, you should visit your healthcare provider for an exam. If you’re concerned about how varicose veins look, or if they’re uncomfortable, treatments can help.","ultrasound test. safe, painless test uses sound waves to produce pictures of tissues inside your body. Ultrasounds can show blood clots and how your valves are working."
Tuberculosis,"Tuberculosis is a bacterial infection that is also known as TB. It can be fatal if not treated. TB most often affects your lungs, but can also affect other organs like your brain.",There are two kinds of screening tests for TB: the Mantoux tuberculin skin test (TST) and the blood test called the interferon gamma release assay (IGRA).
Hyperthyroidism,"Hyperthyroidism is a manageable and treatable condition, and most people do well with treatment. While some forms of treatment require you to take medication for the rest of your life, your thyroid hormone levels will be normal.Unfortunately, untreated hyperthyroidism caused by Graves’ disease may get worse over time and cause complications. If you have Graves’ disease, ask your healthcare provider questions about how you can best manage your condition.","healthcare provider can diagnose hyperthyroidism in several ways including physical exam of your neck to see if your thyroid is larger than normal,Blood tests to look for high levels of thyroid hormone in your body, Imaging tests to look at your thyroid."
Cervical Spondylosis,Contact a healthcare provider if you have neck pain or stiffness that doesn’t go away after a few days.,"Your provider may do the following tests to get detailed images or pictures of your spine and check on your skeletal muscles and nerves. Tests may include X-ray, Computed tomography (CT) scan, Electromyography (EMG), Nerve conduction study."
Alcoholic hepatitis,"there are several tests including Blood tests,Imaging tests to visualize your liver and look for signs of inflammation and damage, such as an ultrasound, CT scan or MRI. ",it's essential to see a doctor promptly.
Peptic ulcer diseae,"For many people, an upper endoscopy exam will provide the final diagnosis. An upper endoscopy (or EGD test) goes inside your upper GI tract with a tiny camera on the end of a long tube.","Foods and drinks don’t cause peptic ulcers, but they can aggravate them if you have them, especially spicy and acidic foods and drinks. You should also avoid alcohol and smoking if you have symptoms or a history of peptic ulcer disease."
Paralysis (brain hemorrhage),"healthcare provider will diagnose a brain bleed after an immediate physical exam, neurological exam and testing. They’ll review your complete medical history and your symptoms first. Then, they’ll order an imaging test like computed tomography (CT) scan. Magnetic resonance imaging (MRI). Magnetic resonance angiogram (MRA).These imaging tests determine the location, extent and, sometimes, the cause of the bleed.Other tests can help detect a cause and may include Electroencephalogram,Chest X-ray,Urinalysis.","If not treated quickly, a brain bleed can lead to permanent brain damage or death. A lack of oxygen to your brain can destroy your brain cells and prevent them from communicating with other parts of your body."
Hypertension ,you can diagnose high blood pressure by measuring it with an arm cuffdiagnose high blood pressure by measuring it with an arm cuff,"call your local emergency if you have sudden symptoms, these include Shortness of breath, Headache, Chest pain, Blurry vision, Heart palpitations, Anxiety, Dizziness, Nosebleed, Vomiting."
Hepatitis E,"Most people with hepatitis E get better within a few months. Usually it doesn’t lead to long-term illness or liver damage like some other forms of hepatitis do. But hepatitis E can be dangerous for pregnant women or anyone with weak immune systems, including the elderly or people who are ill.",use a blood test or a stool test to diagnose hepatitis E.
Chronic cholestasis,"your healthcare provider will begin their investigation by testing a sample of your blood. They’ll look for high levels of bilirubin and bile salts. They may also see elevated levels of cholesterol and certain liver enzymes, such as gamma-glutamyl transferase (GGT) and alkaline phosphatase (ALP). These clues can tell them more about the possible causes of your condition.",It’s a sign that something’s not right with your liver.
Bronchial Asthma,"Your provider may order spirometry. This test measures airflow through your lungs and is used to diagnose and monitor your progress with treatment. Your healthcare provider may order a chest X-ray, blood test or skin test.","Asthma can’t be cured, but it can be managed "
Hepatitis D,use a blood test  to diagnose hepatitis D.,"The only known way to prevent hepatitis D is to avoid infection with hepatitis B. You can take the following preventive measures to reduce your risk for hepatitis B Get vaccinated. There’s a vaccine for hepatitis B that all children should receive. Adults who are at high risk for infection, such as those who use intravenous drugs, should also be vaccinated. The vaccination is usually given in a series of three injections over a period of six months.Use protection. Always practice safe sex by using a condom with all of your sexual partners. You should never engage in unprotected sex unless you’re certain your partner isn’t infected with hepatitis or any other sexually transmitted infection. Avoid or stop using recreational drugs that can be injected, such as heroin or cocaine. If you’re unable to stop using drugs, make sure to use a sterile needle each time you inject them. Never share needles with other people.Be cautious about tattoos and piercings. Go to a trustworthy shop whenever you get a piercing or tattoo. Ask how the equipment is cleaned and make sure the employees use sterile needles."
Hypothyroidism,"It can actually be difficult to diagnose hypothyroidism because the symptoms can be easily confused with other conditions. If you have any of the symptoms of hypothyroidism, talk to your healthcare provider. The main way to diagnose hypothyroidism is a blood test called the thyroid stimulating hormone (TSH) test.","Hypothyroidism is a common condition where the thyroid doesn’t create and release enough thyroid hormone into your bloodstream. This makes your metabolism slow down. Also called underactive thyroid, hypothyroidism can make you feel tired, gain weight and be unable to tolerate cold temperatures. The main treatment for hypothyroidism is hormone replacement therapy."
AIDS,Several different tests can be used to diagnose HIV. Healthcare providers determine which test is best for each person,A person can also be diagnosed with AIDS if they have HIV and develop an opportunistic infection or cancer that’s rare in people who don’t have HIV
Dimorphic hemmorhoids(piles),"A healthcare provider diagnoses hemorrhoids based on symptoms and a physical exam. You may also have Digital rectal exam: Your provider inserts a gloved, lubricated finger into your rectum to feel for swollen veins.Anoscopy: Your provider uses an anoscope (lighted tube) to view the lining of your anus and rectum.Sigmoidoscopy: Your provider uses a sigmoidoscope (lighted tube with a camera) to view inside the lower (sigmoid) part of your colon and rectum. Procedure types include flexible sigmoidoscopy and rigid sigmoidoscopy (proctoscopy).","Hemorrhoids, or piles, are a common issue. These swollen veins inside of your rectum or outside of your anus can cause pain, anal itching and rectal bleeding. Symptoms often improve with at-home treatments, but on occasion, people need medical procedures. Eating more fiber can help prevent hemorrhoids."
Osteoarthristis,Your healthcare provider might use X-rays to take pictures of your joints. They might also use an MRI (magnetic resonance imaging) or CT (computed tomography) scan.,"The best way to prevent osteoarthritis is to maintain good overall health, including Avoiding tobacco products.Doing low-impact exercise. Following a diet plan that’s healthy for you. Always wearing your seatbelt. Wearing proper protective equipment for any activity, sport or work you’re doing."
Typhoid,Your healthcare provider will take samples of body fluids or tissue to test for signs of S. Typhi. They might take samples of your.Blood. Your provider will use a needle to take a small tube of blood from your arm.Poop (stool). Your healthcare provider will give you a sterile container and instructions on how to collect a sample.Pee (urine). You may be asked to pee into a cup given to you by your healthcare provide. Your provider might numb your skin and take a sample with a small razor or scalpel.Bone marrow. Your provider will numb your skin and use a special needle to get a sample of the inside of your bones. It’s rare that you’d ever need this test for diagnosis.You provider may also take X-rays (pictures of the inside of your body) to look for changes in your lungs.,The best way to reduce your risk of typhoid fever is to get vaccinated if you live in or are traveling to an area where it’s common. Hand washing and safe food handling are also important for limiting the spread of typhoid.
Urinary tract infection,"A healthcare provider may order the following tests to diagnose a UTI Urinalysis, Urine culture.If your infection doesn’t respond to treatment, a provider may order the following tests to examine your urinary tract for a disease or injury like ultrasound, Computed tomography (CT) scan and Cystoscopy.","A urinary tract infection is a very common type of infection in your urinary system. It can involve any part of your urinary system. Bacteria — especially E. coli — are the most common cause of UTIs. Symptoms include needing to pee often, pain while peeing and pain in your side or lower back. Antibiotics can treat most UTIs."
Pneumonia,"Your provider may perform tests that look at your lungs for signs of infection, measure how well your lungs are working and examine blood or other body fluids to try to determine the cause of your pneumonia. These include Imaging: Your provider can use chest X-ray or CT scan to take pictures of your lungs to look for signs of infection.Blood tests: Your provider can use a blood test to help determine what kind of infection is causing your pneumonia.Sputum test: You’re asked to cough and then spit into a container to collect a sample for a lab to examine. The lab will look for signs of an infection and try to determine what’s causing it.",The best way to prevent pneumonia is to get vaccinated against bacteria and viruses that commonly cause it. There are also everyday precautions you can take to help reduce your risk of pneumonia.
Arthritis,"Your provider might use imaging tests to take pictures of your joints, including X-ray. Ultrasound. Magnetic resonance imaging (MRI).computed tomography (CT) scan.","Some forms of arthritis happen naturally or because of health conditions you can’t change, so there’s not always a way to prevent it. However, you can lower your chances of developing arthritis by Avoiding tobacco products.Following a diet and exercise plan that’s healthy for you.Doing low-impact exercise. Always wearing proper protective equipment for any activity that could damage your joints."
(vertigo) Paroymsal  Positional Vertigo,Your healthcare provider can diagnose BPPV during an office visit. They’ll perform a physical examination and ask questions about your symptoms and medical history.,"If you’ve experienced a BPPV episode, schedule an appointment with your healthcare provider. They can demonstrate physical therapy exercises to reduce your symptoms.If you have dizziness combined with a severe headache, chest pain or an irregular heartbeat, call your doctor"
Psoriasis,"Do regular skin self-exams to notice any changes in your skin. If you have skin changes, a rash that’s not going away or a rash that gets worse, contact your healthcare provider.","Managing psoriasis often requires a multi-faceted approach, including medical treatment, lifestyle changes like Moisturizing regularly, Reducing stress, Avoiding smoking and alcohol, Using a humidifier"
Fungal infection,"If doctor think you have a fungal infection in your lungs, brain or other internal organ, they might get X-rays, MRI or CT imaging to look for signs of infection.","Fungal infections are any disease or condition you get from a fungus. They usually affect your skin, hair, nails or mucous membranes but they can also infect your lungs or other parts of your body. You’re at higher risk for fungal infections if you have a weakened immune system. Antifungal medications are usually used to treat fungal infections."
Hypoglycemia,The only way to know if you have hypoglycemia is to check your blood sugar with a blood glucose meter (glucometer). Most of these devices use a tiny blood sample from a finger prick with a lancet (small needle).,"Hypoglycemia (low blood sugar) is common in people who have diabetes. But it can also sometimes affect people without diabetes. You need to treat hypoglycemia as soon as possible by consuming carbohydrates. If it’s left untreated, severe low blood sugar can be life-threatening."
Hepatitis C,Screening for hepatitis C infection begins with a simple blood test.,"There’s currently no effective vaccine to prevent hepatitis C. Although researchers have been working on it for a long time, hepatitis C has proven difficult to prevent because it has many variations and mutates rapidly. The only effective way to prevent hepatitis C infection is to avoid contact with infected blood. In particular, don’t share needles or syringes."
Impetigo,Good hygiene is the best way to prevent impetigo. Bathe and wash your hands often to cut down on skin bacteria. Cover any skin wounds or insect bites to protect the area. Keep your nails clipped and clean. Don’t touch or scratch open sores. This can spread the infection.Wash everything that comes into contact with the impetigo sores in hot water and laundry bleach.,doctors can usually diagnose the infection by its appearance.
Gastroenteritis,A poop test or blood test can help prove gastroenteritis and rule out other conditions.,"You should feel better within two to three days after your symptoms first started, or after you started medication if you needed it. If you aren't feeling better yet, let your healthcare provider know."
